trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-185.68442966727932,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-55.95404637705395,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-189.30427049205758,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-54.687977831395386,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-262.12126801148435,"{0: 11, 1: 3, 2: 4, 3: 3, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-199.17394735141875,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,10,-8.844503956061857,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-13.477279612151769,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-99.2259034899313,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-46.982406715080415,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-25.061677132574786,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-19.06186119448114,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-46.577503048277826,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,8.930542449699987,"{0: 32, 1: 2, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-31.202386022703834,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,3,-113.07159139040355,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 3}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,16,15.929943311625632,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-62.52396541620345,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-34.457876023335615,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,5,-60.299535627544046,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",25,11,5.416666567799499,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,2,-11.887207898164448,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,-9.445353745191287,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,25.775718833124643,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,9,17.909411348961687,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,0,-63.844783493773946,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-55.02163572912095,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-80.00827552388417,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,25.496369586118394,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,1.51768868842572,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
