trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.801364741619,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.48513489840973,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-299.6612647168687,"{0: 10, 1: 1, 2: 6, 3: 4, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-150.9483560861202,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.64767574280788,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.72335598370395,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.1542979671618,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.97387548500183,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.18903077769636,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.75179692469925,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-122.46854321047222,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.70697459845695,"{0: 20, 1: 0, 2: 8, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-220.37068290899984,"{0: 7, 1: 2, 2: 6, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.02106245948426,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.11358745138023,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.84964556935157,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,6,-59.68196246447349,"{0: 8, 1: 0, 2: 5, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.09471130217842,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,8,-73.39995384144676,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,10,-24.085267694684184,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-181.30888425542844,"{0: 20, 1: 2, 2: 9, 3: 3, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-125.51210974318232,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-100.1069256728592,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-197.99121959686192,"{0: 15, 1: 2, 2: 10, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.30079284861907,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.95116707046031,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,18,-57.530386668779286,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-106.96649365937247,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-101.48759425709274,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-161.5758485844658,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
